								  t1  t2  t3
that as it                        1   0   0   
that autumn                       1   0   0   
that autumn bilbo                 1   0   0   
that belladonna                   0   1   0   
that belladonna took              0   1   0   
that big                          1   0   0   
that big river                    1   0   0   
that bilbo                        0   1   0   
that bilbo her                    0   1   0   
that day                          0   0   1   
that day but                      0   0   1   
that he                           2   0   1   
that he noticed                   0   0   1   
that he was                       1   0   0   
that he would                     1   0   0   
that lives                        1   0   0   
that lives with                   1   0   0   
that long                         0   1   0   
that long ago                     0   1   0   
that man                          0   0   1   
that man had                      0   0   1   
that means                        0   1   0   
that means comfort                0   1   0   
that morning                      0   0   1   
that morning he                   0   0   1   
that natural                      1   0   0   
that natural small                1   0   0   
that now                          1   0   0   
that now that                     1   0   0   
that only                         0   1   0   
that only waited                  0   1   0   
that ran                          0   1   0   
that ran at                       0   1   0   
that reached                      0   1   0   
that reached nearly               0   1   0   
that said                         0   0   1   
that said privet                  0   0   1   
that shook                        1   0   0   
that shook their                  1   0   0   
that somebody                     0   0   1   
that somebody would               0   0   1   
that something                    1   0   0   
that something quite              1   0   0   
that strange                      0   0   1   
that strange and                  0   0   1   
that the                          2   1   1   
that the brandybucks              1   0   0   
that the hill                     1   0   0   
that the potters                  0   0   1   
that the tooks                    0   1   0   
that there                        0   0   1   
that there seemed                 0   0   1   
that they                         0   0   1   
that they were                    0   0   1   
that this                         0   0   1   
that this was                     0   0   1   
that time                         1   0   0   
that time frodo                   1   0   0   
that trouble                      1   0   0   
that trouble came                 1   0   0   
that was                          1   4   0   
that was father                   0   1   0   
that was not                      1   0   0   
that was of                       0   1   0   
that was the                      0   1   0   
that was to                       0   1   0   
that when                         0   0   1   
that when and                     0   0   1   
that would                        0   0   1   
that would be                     0   0   1   
the                               45  55  46  
the and                           1   0   0   
the and he                        1   0   0   
the bagginses                     1   2   0   
the bagginses had                 1   1   0   
the bagginses though              0   1   0   
the bakery                        0   0   1   
the bearded                       0   1   0   
the bearded dwarves               0   1   0   
the beautiful                     0   1   0   
the beautiful built               0   1   0   
the best                          0   1   0   
the best rooms                    0   1   0   
the big                           0   1   0   
the big people                    0   1   0   
the bother                        0   1   0   
the bother of                     0   1   0   
the brandybucks                   1   0   0   
the brandybucks of                1   0   0   
the brandywine                    1   0   0   
the brandywine river              1   0   0   
the bywater                       1   0   0   
the bywater road                  1   0   0   
the cat                           0   0   3   
the cat in                        0   0   1   
the cat it                        0   0   1   
the cat out                       0   0   1   
the chance                        0   1   0   
the chance never                  0   1   0   
the cheek                         0   0   1   
the cheek and                     0   0   1   
the chief                         1   0   0   
the chief topic                   1   0   0   
the cloudy                        0   0   1   
the cloudy sky                    0   0   1   
the coming                        1   0   0   
the coming event                  1   0   0   
the corner                        0   0   3   
the corner and                    0   0   1   
the corner of                     0   0   2   
the country                       0   0   1   
the country dursley               0   0   1   
the date                          1   0   0   
the date of                       1   0   0   
the director                      0   0   1   
the director of                   0   0   1   
the door                          0   1   0   
the door opened                   0   1   0   
the dull                          0   0   1   
the dull gray                     0   0   1   
the dursleys                      0   0   4   
the dursleys had                  0   0   2   
the dursleys knew                 0   0   1   
the dursleys shuddered            0   0   1   
the edge                          0   0   1   
the edge of                       0   0   1   
the eldest                        1   0   0   
the eldest of                     1   0   0   
the end                           0   2   0   
the end of                        0   1   0   
the end the                       0   1   0   
the ends                          0   1   0   
the ends of                       0   1   0   
the exact                         0   1   0   
the exact middle                  0   1   0   
the fact                          0   1   0   
the fact remained                 0   1   0   
the family                        0   1   0   
the family hushed                 0   1   0   
the famous                        0   1   0   
the famous belladonna             0   1   0   
the first                         0   0   1   
the first sign                    0   0   1   
the foot                          0   1   0   
the foot of                       0   1   0   
the gaffer                        4   0   0   
the gaffer declared               1   0   0   
the gaffer he                     1   0   0   
the gaffer that                   1   0   0   
the gaffer was                    1   0   0   
the garden                        1   0   0   
the garden at                     1   0   0   
the getups                        0   0   1   
the getups you                    0   0   1   
the ground                        0   1   0   
the ground there                  0   1   0   
the growing                       1   0   0   
the growing of                    1   0   0   
the grunnings                     0   0   1   
the grunnings parking             0   0   1   
the hill                          2   5   0   
the hill as                       0   1   0   
the hill at                       1   0   0   
the hill for                      0   1   0   
the hill it                       0   1   0   
the hill itself                   1   0   0   
the hill or                       0   2   0   
the history                       1   0   0   
the history and                   1   0   0   
the hobbit                        0   2   0   
the hobbit bedrooms               0   1   0   
the hobbit was                    0   1   0   
the hobbits                       2   2   0   
the hobbits called                1   0   0   
the hobbits of                    1   0   0   
the hobbits were                  0   1   0   
the hobbits who                   0   1   0   
the hopes                         1   0   0   
the hopes of                      1   0   0   
the house                         0   0   1   
the house he                      0   0   1   
the irresponsible                 1   0   0   
the irresponsible twenties        1   0   0   
the ivy                           1   0   0   
the ivy bush                      1   0   0   
the job                           1   0   0   
the job was                       1   0   0   
the joints                        1   0   0   
the joints the                    1   0   0   
the last                          0   0   1   
the last people                   0   0   1   
the leading                       1   0   0   
the leading authority             1   0   0   
the light                         0   0   1   
the light dursley                 0   0   1   
the mark                          1   0   0   
the mark there                    1   0   0   
the matter                        1   0   0   
the matter of                     1   0   0   
the most                          0   1   0   
the most luxurious                0   1   0   
the mother                        0   2   0   
the mother of                     0   2   0   
the neighbors                     0   0   2   
the neighbors the                 0   0   1   
the neighbors would               0   0   1   
the neighbour                     1   0   0   
the neighbour they                1   0   0   
the neighbourhood                 1   1   0   
the neighbourhood including       1   0   0   
the neighbourhood of              0   1   0   
the nerve                         0   0   1   
the nerve of                      0   0   1   
the ninth                         0   0   1   
the ninth floor                   0   0   1   
the old                           4   1   0   
the old folk                      1   0   0   
the old forest                    2   0   0   
the old took                      1   1   0   
the older                         1   0   0   
the older folk                    1   0   0   
the only                          0   1   0   
the only ones                     0   1   0   
the ordinary                      0   1   0   
the ordinary everyday             0   1   0   
the owls                          0   0   1   
the owls swoop                    0   0   1   
the people                        0   1   0   
the people for                    0   1   0   
the potters                       0   0   4   
the potters arrived               0   0   1   
the potters away                  0   0   1   
the potters had                   0   0   1   
the potters potter                0   0   1   
the quiet                         0   1   0   
the quiet of                      0   1   0   
the respect                       0   1   0   
the respect but                   0   1   0   
the riches                        1   0   0   
the riches he                     1   0   0   
the river                         0   1   0   
the river this                    0   1   0   
the road                          0   0   2   
the road he                       0   0   1   
the road to                       0   0   1   
the sackvillebagginses            1   0   0   
the sackvillebagginses were       1   0   0   
the same                          3   2   0   
the same as                       1   0   0   
the same birthday                 1   0   0   
the same floor                    0   1   0   
the same job                      1   0   0   
the same passage                  0   1   0   
the shire                         2   0   0   
the shire for                     1   0   0   
the shire the                     1   0   0   
the side                          0   2   0   
the side going                    0   1   0   
the side of                       0   1   0   
the sign                          0   0   2   
the sign cats                     0   0   1   
the sign that                     0   0   1   
the small                         0   1   0   
the small river                   0   1   0   
the steering                      0   0   1   
the steering wheel                0   0   1   
the stomach                       0   1   0   
the stomach they                  0   1   0   
the street                        0   0   3   
the street did                    0   0   1   
the street that                   0   0   1   
the street the                    0   0   1   
the stuff                         0   1   0   
the stuff on                      0   1   0   
the tales                         1   0   0   
the tales be                      1   0   0   
the the                           0   1   0   
the the hill                      0   1   0   
the three                         0   1   0   
the three remarkable              0   1   0   
the took                          0   2   0   
the took ancestors                0   1   0   
the took side                     0   1   0   
the tooks                         0   1   0   
the tooks were                    0   1   0   
the traffic                       0   0   1   
the traffic moved                 0   0   1   
the tunnel                        0   1   0   
the tunnel wound                  0   1   0   
the usual                         0   0   2   
the usual amount                  0   0   1   
the usual morning                 0   0   1   
the walls                         0   0   1   
the walls little                  0   0   1   
the water                         0   2   0   
the water and                     0   1   0   
the water the                     0   1   0   
the window                        0   0   2   
the window at                     0   0   1   
the window in                     0   0   1   
the wonder                        1   0   0   
the wonder of                     1   0   0   
the world                         0   1   0   
the world when                    0   1   0   
the would                         0   1   0   
the would go                      0   1   0   
the wrong                         1   0   0   
the wrong side                    1   0   0   
their                             2   3   2   
their days                        0   1   0   
their days still                  0   1   0   
their feet                        0   1   0   
their feet grow                   0   1   0   
their greatest                    0   0   1   
their greatest fear               0   0   1   
their heads                       1   1   0   
their heads and                   1   0   0   
their heads which                 0   1   0   
their opinion                     0   0   1   
their opinion there               0   0   1   
their reminiscences               1   0   0   
their reminiscences in            1   0   0   
them                              0   5   3   
them and                          0   1   0   
them and once                     0   1   0   
them except                       0   1   0   
them except the                   0   1   0   
them had                          0   0   1   
them had never                    0   0   1   
them noticed                      0   0   1   
them noticed a                    0   0   1   
them to                           0   1   0   
them to disappear                 0   1   0   
them very                         0   1   0   
them very respectable             0   1   0   
them were                         0   1   1   
them were rich                    0   1   0   
them were young                   0   0   1   
then                              1   1   2   
then he                           0   0   1   
then he jerked                    0   0   1   
then it                           0   0   1   
then it struck                    0   0   1   
then on                           0   1   0   
then on another                   0   1   0   
then we                           1   0   0   
then we can                       1   0   0   
there                             5   6   5   
there in                          1   0   0   
there in buckland                 1   0   0   
there is                          0   2   0   
there is little                   0   1   0   
there is to                       0   1   0   
there lived                       0   1   0   
there lived a                     0   1   0   
there seemed                      0   0   1   
there seemed to                   0   0   1   
there they                        0   1   0   
there they remained               0   1   0   
there was                         3   2   4   
there was a                       0   0   2   
there was also                    1   0   0   
there was less                    0   1   0   
there was much                    1   0   0   
there was never                   1   0   0   
there was no                      0   0   1   
there was nothing                 0   0   1   
there was still                   0   1   0   
there were                        1   0   0   
there were some                   1   0   0   
these                             1   2   2   
these and                         1   0   0   
these and favourite               1   0   0   
these people                      0   0   1   
these people were                 0   0   1   
these wardrobes                   0   1   0   
these wardrobes he                0   1   0   
these weirdos                     0   0   1   
these weirdos standing            0   0   1   
these were                        0   1   0   
these were the                    0   1   0   
they                              8   12  12  
they also                         0   0   1   
they also had                     0   0   1   
they are                          0   2   0   
they are inclined                 0   1   0   
they are or                       0   1   0   
they began                        1   0   0   
they began to                     1   0   0   
they call                         0   1   0   
they call us                      0   1   0   
they can                          0   2   0   
they can get                      0   1   0   
they can hear                     0   1   0   
they could                        0   0   1   
they could bear                   0   0   1   
they did                          0   0   1   
they did want                     0   0   1   
they discreetly                   0   1   0   
they discreetly disappeared       0   1   0   
they dress                        0   1   0   
they dress in                     0   1   0   
they fool                         1   0   0   
they fool about                   1   0   0   
they had                          1   0   2   
they had heard                    1   0   0   
they had met                      0   0   1   
they had never                    0   0   1   
they have                         0   2   0   
they have become                  0   1   0   
they have twice                   0   1   0   
they just                         0   0   1   
they just did                     0   0   1   
they live                         1   0   0   
they live on                      1   0   0   
they lived                        1   0   0   
they lived on                     1   0   0   
they never                        0   1   0   
they never had                    0   1   0   
they pointed                      0   0   1   
they pointed and                  0   0   1   
they remained                     0   1   0   
they remained to                  0   1   0   
they said                         1   0   0   
they said natural                 1   0   0   
they say                          1   0   0   
they say it                       1   0   0   
they think                        0   0   1   
they think they                   0   0   1   
they wanted                       0   0   1   
they wanted but                   0   0   1   
they were                         1   1   3   
they were perfectly               0   0   1   
they were ready                   1   0   0   
they were the                     0   0   1   
they were undoubtedly             0   1   0   
they were whispering              0   0   1   
thick                             0   1   0   
thick warm                        0   1   0   
thick warm brown                  0   1   0   
thin                              0   0   1   
thin and                          0   0   1   
thin and blonde                   0   0   1   
thing                             1   0   0   
thing it                          1   0   0   
thing it seemed                   1   0   0   
things                            0   1   1   
things altogether                 0   1   0   
things altogether unexpected      0   1   0   
things would                      0   0   1   
things would soon                 0   0   1   
think                             0   0   2   
think they                        0   0   1   
think they could                  0   0   1   
think what                        0   0   1   
think what the                    0   0   1   
thinking                          0   0   1   
thinking of                       0   0   1   
thinking of it                    0   0   1   
this                              3   3   3   
this and                          1   0   0   
this and other                    1   0   0   
this boy                          0   0   1   
this boy was                      0   0   1   
this frodo                        1   0   0   
this frodo that                   1   0   0   
this hobbit                       0   1   0   
this hobbit was                   0   1   0   
this is                           0   1   0   
this is a                         0   1   0   
this of                           0   1   0   
this of bilbo                     0   1   0   
this was                          1   0   2   
this was probably                 0   0   1   
this was some                     0   0   1   
this was too                      1   0   0   
though                            0   1   1   
though people                     0   0   1   
though people down                0   0   1   
though they                       0   1   0   
though they were                  0   1   0   
thought                           1   0   2   
thought he                        0   0   1   
thought he stretch                0   0   1   
thought of                        0   0   1   
thought of nothing                0   0   1   
thought this                      1   0   0   
thought this was                  1   0   0   
three                             0   1   0   
three remarkable                  0   1   0   
three remarkable daughters        0   1   0   
throwing                          0   0   1   
throwing his                      0   0   1   
throwing his cereal               0   0   1   
tie                               0   0   1   
tie for                           0   0   1   
tie for work                      0   0   1   
tiled                             0   1   0   
tiled and                         0   1   0   
tiled and carpeted                0   1   0   
till                              1   0   0   
till he                           1   0   0   
till he was                       1   0   0   
time                              2   1   1   
time craning                      0   0   1   
time craning over                 0   0   1   
time frodo                        1   0   0   
time frodo was                    1   0   0   
time out                          0   1   0   
time out of                       0   1   0   
time wore                         1   0   0   
time wore on                      1   0   0   
to                                15  14  14  
to a                              0   1   0   
to a hall                         0   1   0   
to be                             3   2   4   
to be a                           1   0   1   
to be an                          1   0   0   
to be fat                         0   1   0   
to be found                       0   1   0   
to be involved                    0   0   1   
to be older                       0   0   1   
to be paid                        1   0   0   
to be the                         0   0   1   
to buy                            0   0   1   
to buy himself                    0   0   1   
to call                           1   0   0   
to call him                       1   0   0   
to clothes                        0   1   0   
to clothes kitchens               0   1   0   
to come                           0   1   0   
to come out                       0   1   0   
to concentrate                    0   0   1   
to concentrate on                 0   0   1   
to disappear                      0   1   0   
to disappear quietly              0   1   0   
to eat                            0   1   0   
to eat it                         0   1   0   
to forgive                        1   0   0   
to forgive him                    1   0   0   
to get                            0   0   1   
to get that                       0   0   1   
to go                             0   1   0   
to go on                          0   1   0   
to grow                           1   0   0   
to grow up                        1   0   0   
to have                           2   1   0   
to have little                    1   0   0   
to have the                       1   0   0   
to have windows                   0   1   0   
to hear                           1   1   0   
to hear it                        1   0   0   
to hear you                       0   1   0   
to him                            1   0   0   
to him calling                    1   0   0   
to his                            0   1   0   
to his woolly                     0   1   0   
to kiss                           0   0   1   
to kiss dudley                    0   0   1   
to live                           1   0   0   
to live at                        1   0   0   
to look                           0   0   1   
to look again                     0   0   1   
to marvel                         1   0   0   
to marvel at                      1   0   0   
to meet                           1   0   0   
to meet very                      1   0   0   
to say                            0   0   1   
to say that                       0   0   1   
to see                            0   0   1   
to see that                       0   0   1   
to sit                            0   1   0   
to sit down                       0   1   0   
to suggest                        0   0   1   
to suggest that                   0   0   1   
to tell                           1   0   0   
to tell of                        1   0   0   
to the                            0   2   1   
to the end                        0   1   0   
to the river                      0   1   0   
to the window                     0   0   1   
to think                          0   0   1   
to think what                     0   0   1   
to wag                            1   0   0   
to wag in                         1   0   0   
toes                              0   1   0   
toes neatly                       0   1   0   
toes neatly brushed               0   1   0   
together                          0   0   1   
together dursley                  0   0   1   
together dursley was              0   0   1   
tongues                           1   0   0   
tongues began                     1   0   0   
tongues began to                  1   0   0   
too                               1   0   1   
too but                           0   0   1   
too but they                      0   0   1   
too much                          1   0   0   
too much of                       1   0   0   
took                              1   5   0   
took ancestors                    0   1   0   
took ancestors must               0   1   0   
took ever                         0   1   0   
took ever had                     0   1   0   
took head                         0   1   0   
took head of                      0   1   0   
took himself                      1   0   0   
took himself had                  1   0   0   
took one                          0   1   0   
took one of                       0   1   0   
took side                         0   1   0   
took side something               0   1   0   
tooks                             0   1   0   
tooks were                        0   1   0   
tooks were not                    0   1   0   
topic                             1   0   0   
topic of                          1   0   0   
topic of conversation             1   0   0   
toward                            0   0   1   
toward town                       0   0   1   
toward town he                    0   0   1   
town                              0   0   2   
town drills                       0   0   1   
town drills were                  0   0   1   
town he                           0   0   1   
town he thought                   0   0   1   
traffic                           0   0   2   
traffic jam                       0   0   1   
traffic jam he                    0   0   1   
traffic moved                     0   0   1   
traffic moved on                  0   0   1   
travelled                         1   0   0   
travelled all                     1   0   0   
travelled all over                1   0   0   
travels                           1   0   0   
travels had                       1   0   0   
travels had now                   1   0   0   
treasure                          1   0   0   
treasure and                      1   0   0   
treasure and if                   1   0   0   
trick                             0   0   1   
trick of                          0   0   1   
trick of the                      0   0   1   
tried                             0   0   1   
tried to                          0   0   1   
tried to kiss                     0   0   1   
trouble                           3   0   0   
trouble came                      1   0   0   
trouble came of                   1   0   0   
trouble had                       1   0   0   
trouble had not                   1   0   0   
trouble will                      1   0   0   
trouble will come                 1   0   0   
truth                             1   0   0   
truth for                         1   0   0   
truth for bilbo                   1   0   0   
tuesday                           0   0   1   
tuesday our                       0   0   1   
tuesday our story                 0   0   1   
tunnel                            0   3   0   
tunnel a                          0   1   0   
tunnel a very                     0   1   0   
tunnel without                    0   1   0   
tunnel without smoke              0   1   0   
tunnel wound                      0   1   0   
tunnel wound on                   0   1   0   
tunnels                           1   0   0   
tunnels stuffed                   1   0   0   
tunnels stuffed with              1   0   0   
tweens                            1   0   0   
tweens as                         1   0   0   
tweens as the                     1   0   0   
twelve                            1   0   0   
twelve more                       1   0   0   
twelve more years                 1   0   0   
twenties                          1   0   0   
twenties between                  1   0   0   
twenties between childhood        1   0   0   
twice                             0   1   1   
twice a                           0   1   0   
twice a day                       0   1   0   
twice the                         0   0   1   
twice the usual                   0   0   1   
twofoot                           1   0   0   
twofoot the                       1   0   0   
twofoot the neighbour             1   0   0   
tyke                              0   0   1   
tyke chortled                     0   0   1   
tyke chortled dursley             0   0   1   
unchanged                         1   0   0   
unchanged would                   1   0   0   
unchanged would have              1   0   0   
under                             0   1   0   
under the                         0   1   0   
under the hill                    0   1   0   
understood                        1   0   0   
understood that                   1   0   0   
understood that something         1   0   0   
undoubtedly                       0   1   0   
undoubtedly richer                0   1   0   
undoubtedly richer not            0   1   0   
undursleyish                      0   0   1   
undursleyish as                   0   0   1   
undursleyish as it                0   0   1   
unexpected                        1   3   0   
unexpected he                     0   1   0   
unexpected he may                 0   1   0   
unexpected party                  0   1   0   
unexpected party in               0   1   0   
unexpected return                 1   0   0   
unexpected return the             1   0   0   
unexpected you                    0   1   0   
unexpected you could              0   1   0   
unfair                            1   0   0   
unfair that                       1   0   0   
unfair that anyone                1   0   0   
unimportant                       1   0   0   
unimportant families              1   0   0   
unimportant families but          1   0   0   
until                             1   2   1   
until bilbo                       0   1   0   
until bilbo baggins               0   1   0   
until he                          0   1   0   
until he had                      0   1   0   
until lunchtime                   0   0   1   
until lunchtime when              0   0   1   
until some                        1   0   0   
until some of                     1   0   0   
up                                1   2   3   
up being                          0   1   0   
up being about                    0   1   0   
up but                            0   1   0   
up but the                        0   1   0   
up his                            0   0   1   
up his briefcase                  0   0   1   
up on                             0   0   1   
up on the                         0   0   1   
up the                            1   0   1   
up the eldest                     1   0   0   
up the road                       0   0   1   
upon                              1   0   0   
upon the                          1   0   0   
upon the growing                  1   0   0   
upstairs                          0   1   0   
upstairs for                      0   1   0   
upstairs for the                  0   1   0   
us                                0   1   0   
us they                           0   1   0   
us they are                       0   1   0   
useful                            0   0   1   
useful as                         0   0   1   
useful as she                     0   0   1   
usual                             0   0   2   
usual amount                      0   0   1   
usual amount of                   0   0   1   
usual morning                     0   0   1   
usual morning traffic             0   0   1   
vegetables                        1   0   0   
vegetables in                     1   0   0   
vegetables in the                 1   0   0   
very                              8   4   4   
very comfortable                  0   1   0   
very comfortable tunnel           0   1   0   
very friendly                     1   0   0   
very friendly terms               1   0   0   
very good                         0   0   1   
very good mood                    0   0   1   
very hobbit                       0   1   0   
very hobbit and                   0   1   0   
very large                        0   0   1   
very large mustache               0   0   1   
very little                       0   1   0   
very little of                    0   1   0   
very lively                       1   0   0   
very lively combined              1   0   0   
very much                         1   0   1   
very much like                    1   0   0   
very much they                    0   0   1   
very nice                         1   0   0   
very nice gentlehobbit            1   0   0   
very peculiar                     1   0   0   
very peculiar and                 1   0   0   
very polite                       1   0   0   
very polite to                    1   0   0   
very respectable                  1   1   0   
very respectable age              1   0   0   
very respectable not              0   1   0   
very rich                         1   0   0   
very rich and                     1   0   0   
very useful                       0   0   1   
very useful as                    0   0   1   
vigour                            1   0   0   
vigour to                         1   0   0   
vigour to marvel                  1   0   0   
visiting                          1   0   0   
visiting terms                    1   0   0   
visiting terms with               1   0   0   
visitors                          0   1   0   
visitors the                      0   1   0   
visitors the tunnel               0   1   0   
voices                            1   0   0   
voices they                       1   0   0   
voices they had                   1   0   0   
wag                               1   0   0   
wag in                            1   0   0   
wag in hobbiton                   1   0   0   
waited                            0   1   0   
waited for                        0   1   0   
waited for a                      0   1   0   
walk                              0   0   1   
walk across                       0   0   1   
walk across the                   0   0   1   
walls                             0   1   1   
walls and                         0   1   0   
walls and floors                  0   1   0   
walls little                      0   0   1   
walls little tyke                 0   0   1   
want                              0   0   1   
want dudley                       0   0   1   
want dudley mixing                0   0   1   
wanted                            0   0   1   
wanted but                        0   0   1   
wanted but they                   0   0   1   
wardrobes                         0   1   0   
wardrobes he                      0   1   0   
wardrobes he had                  0   1   0   
warm                              0   1   0   
warm brown                        0   1   0   
warm brown hair                   0   1   0   
was                               24  14  20  
was a                             1   2   3   
was a and                         0   1   0   
was a baggins                     1   0   0   
was a big                         0   0   1   
was a map                         0   0   1   
was a tabby                       0   0   1   
was a very                        0   1   0   
was also                          1   0   0   
was also his                      1   0   0   
was and                           0   0   1   
was and wearing                   0   0   1   
was another                       0   0   1   
was another good                  0   0   1   
was baggins                       0   1   0   
was baggins the                   0   1   0   
was being                         1   0   0   
was being planned                 1   0   0   
was drogo                         1   0   0   
was drogo baggins                 1   0   0   
was dursley                       0   0   1   
was dursley sister                0   0   1   
was enraged                       0   0   1   
was enraged to                    0   0   1   
was father                        0   1   0   
was father built                  0   1   0   
was fond                          0   1   0   
was fond of                       0   1   0   
was full                          1   0   0   
was full of                       1   0   0   
was generous                      1   0   0   
was generous with                 1   0   0   
was going                         2   0   0   
was going to                      2   0   0   
was grown                         0   1   0   
was grown up                      0   1   0   
was he                            1   0   0   
was he adopted                    1   0   0   
was himself                       1   0   0   
was himself growing               1   0   0   
was hoping                        0   0   1   
was hoping to                     0   0   1   
was in                            0   0   1   
was in a                          0   0   1   
was less                          0   1   0   
was less noise                    0   1   0   
was mainly                        1   0   0   
was mainly carried                1   0   0   
was much                          2   0   0   
was much talk                     1   0   0   
was much the                      1   0   0   
was never                         1   0   0   
was never much                    1   0   0   
was no                            0   0   1   
was no finer                      0   0   1   
was not                           1   0   0   
was not enough                    1   0   0   
was nothing                       0   0   1   
was nothing about                 0   0   1   
was now                           0   0   2   
was now having                    0   0   1   
was now reading                   0   0   1   
was of                            0   1   0   
was of course                     0   1   0   
was often                         0   1   0   
was often said                    0   1   0   
was on                            0   0   1   
was on the                        0   0   1   
was popularly                     1   0   0   
was popularly believed            1   0   0   
was possible                      0   0   1   
was possible to                   0   0   1   
was probably                      0   0   1   
was probably some                 0   0   1   
was recognized                    1   0   0   
was recognized as                 1   0   0   
was said                          1   0   0   
was said several                  1   0   0   
was saying                        0   1   0   
was saying the                    0   1   0   
was some                          0   0   1   
was some stupid                   0   0   1   
was standing                      0   1   0   
was standing at                   0   1   0   
was still                         1   1   0   
was still in                      1   0   0   
was still something               0   1   0   
was that                          0   0   1   
was that somebody                 0   0   1   
was the                           0   1   1   
was the director                  0   0   1   
was the famous                    0   1   0   
was thin                          0   0   1   
was thin and                      0   0   1   
was to                            0   1   0   
was to be                         0   1   0   
was too                           1   0   0   
was too much                      1   0   0   
was understood                    1   0   0   
was understood that               1   0   0   
was very                          2   0   0   
was very polite                   1   0   0   
was very rich                     1   0   0   
was young                         1   0   0   
was young frodo                   1   0   0   
watched                           0   0   1   
watched the                       0   0   1   
watched the cat                   0   0   1   
water                             0   2   0   
